date,price,open,high,low,volume,change
2012-11-05,9620.0,9635.0,9635.0,9620.0,,0.0005
2012-11-02,9615.0,9620.0,9634.0,9615.0,,-0.0005
2012-11-01,9620.0,9625.0,9635.0,9620.0,,0.0016
2012-10-31,9605.0,9635.0,9635.0,9605.0,,-0.001
2012-10-30,9615.0,9615.0,9633.0,9615.0,,0.001
2012-10-29,9605.0,9615.0,9617.0,9605.0,,0.0
2012-10-26,9605.0,9605.0,9605.0,9605.0,,0.0
2012-10-25,9605.0,9620.0,9620.0,9605.0,,-0.0005
2012-10-24,9610.0,9610.0,9615.0,9605.0,,0.0003
2012-10-23,9607.5,9602.5,9612.5,9602.5,,0.0003
2012-10-22,9605.0,9595.0,9605.0,9595.0,,0.0013
2012-10-19,9592.5,9587.5,9592.5,9581.5,,0.0005
2012-10-18,9588.0,9575.0,9595.0,9575.0,,0.0015
2012-10-17,9574.0,9574.0,9585.0,9573.0,,-0.0011
2012-10-16,9585.0,9585.0,9590.0,9584.0,,-0.0005
2012-10-15,9590.0,9595.0,9595.0,9589.0,,0.0013
2012-10-12,9577.5,9587.5,9607.5,9572.5,,-0.0005
2012-10-11,9582.5,9602.5,9607.5,9577.5,,-0.001
2012-10-10,9592.0,9605.0,9610.0,9591.0,,0.0
2012-10-09,9592.0,9605.0,9605.0,9592.0,,0.0001
2012-10-08,9591.0,9575.0,9591.0,9575.0,,0.0002
2012-10-05,9589.0,9597.0,9598.0,9589.0,,-0.0001
2012-10-04,9590.0,9595.0,9600.0,9590.0,,0.0005
2012-10-03,9585.0,9590.0,9590.0,9585.0,,0.0005
2012-10-02,9580.0,9590.0,9593.0,9580.0,,0.0
2012-10-01,9580.0,9590.0,9595.0,9580.0,,0.001
2012-09-28,9570.0,9585.0,9592.0,9570.0,,-0.0005
2012-09-27,9575.0,9595.0,9595.0,9575.0,,-0.001
2012-09-26,9585.0,9580.0,9590.0,9580.0,,0.001
2012-09-25,9575.0,9585.0,9585.0,9575.0,,0.0013
2012-09-24,9562.5,9562.5,9577.5,9547.5,,0.0018
2012-09-21,9545.0,9550.0,9560.0,9544.0,,0.0005
2012-09-20,9540.0,9538.0,9550.0,9538.0,,0.0003
2012-09-19,9537.5,9527.5,9555.5,9527.5,,0.0037
2012-09-18,9502.5,9477.5,9502.5,9477.5,,0.0042
2012-09-17,9462.5,9477.5,9477.5,9445.5,,-0.0045
2012-09-14,9505.0,9580.0,9580.0,9505.0,,-0.0076
2012-09-13,9577.5,9577.5,9597.5,9577.5,,0.001
2012-09-12,9568.0,9583.0,9588.0,9568.0,,-0.001
2012-09-11,9577.5,9590.5,9599.5,9577.5,,0.0001
2012-09-10,9577.0,9585.0,9593.0,9577.0,,0.0007
2012-09-07,9570.0,9595.0,9600.0,9570.0,,0.0005
2012-09-06,9565.0,9590.0,9595.0,9565.0,,-0.0005
2012-09-05,9570.0,9590.0,9598.0,9570.0,,-0.0001
2012-09-04,9571.0,9580.0,9591.0,9570.0,,0.0038
2012-09-03,9535.0,9560.0,9590.0,9530.0,,0.0
2012-08-31,9535.0,9575.0,9575.0,9530.0,,-0.001
2012-08-30,9545.0,9565.0,9585.0,9545.0,,-0.0003
2012-08-29,9547.5,9537.5,9575.5,9537.5,,0.0013
2012-08-28,9535.0,9530.0,9536.0,9525.0,,0.0021
2012-08-27,9515.0,9515.0,9520.0,9505.0,,0.0011
2012-08-24,9505.0,9505.0,9510.0,9500.0,,0.0012
2012-08-23,9494.0,9481.0,9499.0,9481.0,,0.0004
2012-08-22,9490.0,9490.0,9490.0,9490.0,,0.0
2012-08-21,9490.0,9490.0,9490.0,9490.0,,0.0
2012-08-20,9490.0,9490.0,9490.0,9490.0,,0.0
2012-08-17,9490.0,9490.0,9490.0,9490.0,,0.0
2012-08-16,9490.0,9510.0,9515.0,9490.0,,-0.0008
2012-08-15,9497.5,9487.5,9502.5,9482.5,,0.0016
2012-08-14,9482.5,9487.5,9489.5,9474.5,,-0.0003
2012-08-13,9485.0,9480.0,9490.0,9465.0,,0.0008
2012-08-10,9477.5,9477.5,9479.5,9472.5,,0.0006
2012-08-09,9471.5,9483.5,9483.5,9471.5,,0.0001
2012-08-08,9470.5,9477.5,9484.5,9470.5,,0.0003
2012-08-07,9467.5,9473.5,9479.5,9467.5,,0.0003
2012-08-06,9465.0,9455.0,9475.0,9455.0,,-0.0003
2012-08-03,9467.5,9482.5,9492.5,9467.5,,0.0
2012-08-02,9467.5,9477.5,9485.5,9467.5,,0.0026
2012-08-01,9442.5,9467.5,9477.5,9442.5,,-0.0003
2012-07-31,9445.0,9485.0,9486.0,9445.0,,-0.0011
2012-07-30,9455.0,9450.0,9485.0,9445.0,,0.0
2012-07-27,9455.0,9485.0,9498.0,9450.0,,-0.0024
2012-07-26,9477.5,9492.5,9497.5,9477.5,,-0.0005
2012-07-25,9482.5,9492.5,9507.5,9482.5,,0.0016
2012-07-24,9467.5,9487.5,9492.5,9467.5,,0.0013
2012-07-23,9455.0,9480.0,9495.0,9454.0,,0.0005
2012-07-20,9450.0,9465.0,9483.0,9449.0,,0.0003
2012-07-19,9447.5,9457.5,9485.5,9447.5,,-0.0003
2012-07-18,9450.0,9460.0,9475.0,9450.0,,0.0011
2012-07-17,9440.0,9455.0,9480.0,9440.0,,-0.0011
2012-07-16,9450.0,9455.0,9490.0,9450.0,,0.0003
2012-07-13,9447.5,9467.5,9497.5,9447.5,,0.0003
2012-07-12,9445.0,9435.0,9485.0,9435.0,,0.0032
2012-07-11,9415.0,9440.0,9470.0,9415.0,,-0.0016
2012-07-10,9430.0,9425.0,9450.0,9420.0,,0.0021
2012-07-09,9410.0,9405.0,9445.0,9400.0,,-0.0034
2012-07-06,9442.0,9395.0,9474.0,9355.0,,0.0062
2012-07-05,9384.0,9370.0,9405.0,9340.0,,0.0044
2012-07-04,9342.5,9347.5,9467.5,9307.5,,0.002
2012-07-03,9324.0,9390.0,9435.0,9323.0,,-0.0076
2012-07-02,9395.0,9385.0,9455.0,9355.0,,0.0003
2012-06-29,9392.5,9457.5,9482.5,9392.5,,-0.0056
2012-06-28,9445.0,9455.0,9480.0,9445.0,,0.0
2012-06-27,9445.0,9465.0,9485.0,9445.0,,0.0005
2012-06-26,9440.0,9465.0,9480.0,9435.0,,0.0
2012-06-25,9440.0,9450.0,9476.0,9440.0,,0.0003
2012-06-22,9437.5,9447.5,9477.5,9437.5,,0.0008
2012-06-21,9430.0,9445.0,9480.0,9430.0,,0.0011
2012-06-20,9420.0,9420.0,9490.0,9419.0,,0.0016
2012-06-19,9405.0,9420.0,9460.0,9400.0,,0.0019
2012-06-18,9387.5,9397.5,9433.5,9382.5,,0.0003
2012-06-15,9385.0,9435.0,9470.0,9384.0,,-0.0037
2012-06-14,9420.0,9445.0,9471.0,9419.0,,0.0
2012-06-13,9420.0,9410.0,9475.0,9410.0,,0.0016
2012-06-12,9405.0,9425.0,9460.0,9405.0,,0.0
2012-06-11,9405.0,9400.0,9450.0,9400.0,,0.0021
2012-06-08,9385.0,9390.0,9435.0,9380.0,,0.0016
2012-06-07,9370.0,9360.0,9410.0,9360.0,,0.0075
2012-06-06,9300.0,9410.0,9495.0,9290.0,,-0.0109
2012-06-05,9402.5,9412.5,9462.5,9402.5,,0.0003
2012-06-04,9400.0,9410.0,9486.0,9400.0,,0.0013
2012-06-01,9387.5,9347.5,9482.5,9297.5,,-0.0013
2012-05-31,9400.0,9460.0,9570.0,9390.0,,-0.0037
2012-05-30,9435.0,9365.0,9590.0,9365.0,,0.0043
2012-05-29,9395.0,9335.0,9565.0,9335.0,,0.007
2012-05-28,9330.0,9300.0,9410.0,9300.0,,0.0046
2012-05-25,9287.5,9267.5,9347.5,9267.5,,0.0024
2012-05-24,9265.0,9265.0,9275.0,9265.0,,0.0005
2012-05-23,9260.0,9260.0,9285.0,9259.0,,0.0035
2012-05-22,9227.5,9267.5,9268.5,9227.5,,-0.0024
2012-05-21,9250.0,9260.0,9275.0,9249.0,,0.0009
2012-05-18,9242.0,9242.0,9242.0,9242.0,,0.0
2012-05-17,9242.0,9242.0,9242.0,9242.0,,0.0
2012-05-16,9242.0,9270.0,9280.0,9242.0,,0.0002
2012-05-15,9240.0,9245.0,9270.0,9235.0,,0.0005
2012-05-14,9235.0,9205.0,9265.0,9205.0,,0.0049
2012-05-11,9190.0,9190.0,9200.0,9145.0,,0.0011
2012-05-10,9180.0,9255.0,9265.0,9175.0,,-0.0054
2012-05-09,9230.0,9215.0,9235.0,9187.0,,0.0038
2012-05-08,9195.0,9205.0,9240.0,9195.0,,0.0
2012-05-07,9195.0,9210.0,9230.0,9195.0,,0.0005
2012-05-04,9190.0,9200.0,9210.0,9189.0,,0.0
2012-05-03,9190.0,9210.0,9210.0,9190.0,,-0.0009
2012-05-02,9198.0,9186.0,9198.0,9186.0,,0.0006
2012-05-01,9192.5,9192.5,9192.5,9187.5,,0.0002
2012-04-30,9190.5,9187.5,9194.5,9184.5,,0.0002
2012-04-27,9189.0,9190.0,9197.0,9189.0,,0.0004
2012-04-26,9185.0,9200.0,9201.0,9184.0,,-0.0014
2012-04-25,9197.5,9177.5,9200.5,9177.5,,0.0005
2012-04-24,9192.5,9192.5,9197.5,9189.5,,0.0007
2012-04-23,9186.5,9171.5,9187.5,9171.5,,0.0003
2012-04-20,9183.5,9180.5,9183.5,9176.5,,0.0005
2012-04-19,9179.0,9179.0,9186.0,9177.0,,0.0002
2012-04-18,9177.5,9172.5,9181.5,9172.5,,-0.0003
2012-04-17,9180.0,9175.0,9185.0,9175.0,,0.0005
2012-04-16,9175.0,9155.0,9185.0,9155.0,,0.0038
2012-04-13,9140.0,9170.0,9185.0,9140.0,,-0.0025
2012-04-12,9162.5,9177.5,9187.5,9162.5,,0.0011
2012-04-11,9152.5,9167.5,9182.5,9147.5,,0.0003
2012-04-10,9150.0,9160.0,9178.0,9150.0,,0.0
2012-04-09,9150.0,9150.0,9180.0,9115.0,,0.0044
2012-04-06,9110.0,9110.0,9110.0,9110.0,,0.0
2012-04-05,9110.0,9150.0,9165.0,9085.0,,-0.0033
2012-04-04,9140.0,9145.0,9165.0,9140.0,,0.0011
2012-04-03,9130.0,9140.0,9160.0,9115.0,,-0.0011
2012-04-02,9140.0,9155.0,9180.0,9135.0,,-0.0004
2012-03-30,9144.0,9175.0,9190.0,9143.0,,-0.0023
2012-03-29,9165.0,9175.0,9197.0,9160.0,,0.0019
2012-03-28,9147.5,9182.5,9194.5,9147.5,,-0.0011
2012-03-27,9157.5,9182.5,9192.5,9152.5,,-0.0019
2012-03-26,9175.0,9165.0,9190.0,9165.0,,0.0019
2012-03-23,9157.5,9157.5,9157.5,9157.5,,0.0
2012-03-22,9157.5,9162.5,9187.5,9157.5,,0.0014
2012-03-21,9145.0,9180.0,9180.0,9144.0,,-0.0011
2012-03-20,9155.0,9165.0,9180.0,9155.0,,0.0033
2012-03-19,9125.0,9135.0,9170.0,9125.0,,-0.0005
2012-03-16,9130.0,9185.0,9190.0,9110.0,,-0.0041
2012-03-15,9167.5,9192.5,9197.5,9167.5,,-0.0003
2012-03-14,9170.0,9190.0,9200.0,9170.0,,0.0005
2012-03-13,9165.0,9165.0,9165.0,9165.0,,0.0008
2012-03-12,9157.5,9157.5,9167.5,9157.5,,0.0027
2012-03-09,9132.5,9112.5,9137.5,9112.5,,-0.0003
2012-03-08,9135.0,9135.0,9170.0,9105.0,,0.0027
2012-03-07,9110.0,9180.0,9195.0,9110.0,,-0.003
2012-03-06,9137.5,9137.5,9182.5,9136.5,,0.0016
2012-03-05,9122.5,9107.5,9142.5,9107.5,,0.0047
2012-03-02,9080.0,9100.0,9115.0,9080.0,,0.0
2012-03-01,9080.0,9060.0,9110.0,9060.0,,0.0067
2012-02-29,9020.0,9070.0,9100.0,9020.0,,-0.0011
2012-02-28,9030.0,9130.0,9170.0,9030.0,,-0.0104
2012-02-27,9125.0,9070.0,9180.0,9070.0,,0.0088
2012-02-24,9045.0,9065.0,9090.0,9040.0,,0.0
2012-02-23,9045.0,9065.0,9085.0,9040.0,,-0.0006
2012-02-22,9050.0,9025.0,9065.0,9025.0,,0.0011
2012-02-21,9040.0,9035.0,9060.0,9025.0,,0.0044
2012-02-20,9000.0,9020.0,9047.0,9000.0,,0.0
2012-02-17,9000.0,8960.0,9030.0,8955.0,,-0.0006
2012-02-16,9005.0,8970.0,9040.0,8960.0,,0.0056
2012-02-15,8955.0,9020.0,9045.0,8950.0,,-0.0056
2012-02-14,9005.0,9030.0,9050.0,9005.0,,0.0006
2012-02-13,9000.0,8990.0,9030.0,8990.0,,0.0017
2012-02-10,8985.0,8975.0,9005.0,8975.0,,0.0045
2012-02-09,8945.0,8905.0,8987.0,8895.0,,0.0073
2012-02-08,8880.0,8985.0,9000.0,8875.0,,-0.007
2012-02-07,8942.5,8997.5,9002.5,8942.5,,-0.0047
2012-02-06,8985.0,8985.0,8995.0,8980.0,,0.0017
2012-02-03,8970.0,8980.0,9010.0,8970.0,,0.0034
2012-02-02,8940.0,8950.0,8950.0,8880.0,,-0.0047
2012-02-01,8982.5,9012.5,9037.5,8977.5,,-0.0008
2012-01-31,8990.0,9010.0,9025.0,8990.0,,0.0
2012-01-30,8990.0,8980.0,9005.0,8980.0,,0.002
2012-01-27,8972.5,8992.5,8997.5,8972.5,,0.0008
2012-01-26,8965.0,8905.0,9005.0,8905.0,,0.0084
2012-01-25,8890.0,9005.0,9036.0,8875.0,,-0.0125
2012-01-24,9002.5,8972.5,9002.5,8972.5,,0.0064
2012-01-23,8945.0,8945.0,8945.0,8945.0,,0.0
2012-01-20,8945.0,8985.0,8985.0,8945.0,,-0.0028
2012-01-19,8970.0,9020.0,9080.0,8970.0,,-0.0066
2012-01-18,9030.0,9120.0,9195.0,9030.0,,-0.0061
2012-01-17,9085.0,9165.0,9215.0,9085.0,,-0.0049
2012-01-16,9130.0,9080.0,9210.0,9080.0,,0.0055
2012-01-13,9080.0,9195.0,9195.0,9075.0,,-0.0087
2012-01-12,9160.0,9160.0,9211.0,9155.0,,0.0
2012-01-11,9160.0,9210.0,9210.0,9160.0,,0.0005
2012-01-10,9155.0,9195.0,9215.0,9155.0,,0.0005
2012-01-09,9150.0,9150.0,9190.0,9150.0,,0.006
2012-01-06,9095.0,9155.0,9165.0,9094.0,,-0.0033
2012-01-05,9125.0,9190.0,9190.0,9115.0,,-0.0022
2012-01-04,9145.0,9150.0,9200.0,9145.0,,0.0011
2012-01-03,9135.0,9115.0,9165.0,9115.0,,0.0061
2012-01-02,9080.0,9110.0,9170.0,9080.0,,0.0014
2011-12-30,9067.5,9067.5,9157.5,9057.5,,-0.0006
2011-12-29,9072.5,9067.5,9167.5,9067.5,,0.0
2011-12-28,9072.5,9057.5,9187.5,9057.5,,-0.0003
2011-12-27,9075.0,9090.0,9161.0,9075.0,,0.0022
2011-12-26,9055.0,9055.0,9055.0,9055.0,,0.0
2011-12-23,9055.0,9065.0,9065.0,9010.0,,-0.0011
2011-12-22,9065.0,9075.0,9155.0,9055.0,,-0.0006
2011-12-21,9070.0,9095.0,9155.0,9069.0,,-0.0011
2011-12-20,9080.0,9090.0,9180.0,9080.0,,0.0017
2011-12-19,9065.0,9080.0,9125.0,9065.0,,0.0033
2011-12-16,9035.0,9055.0,9070.0,8995.0,,-0.0061
2011-12-15,9090.0,9130.0,9190.0,9090.0,,0.0006
2011-12-14,9085.0,9085.0,9105.0,9085.0,,0.0017
2011-12-13,9070.0,9090.0,9100.0,9070.0,,0.0022
2011-12-12,9050.0,9090.0,9090.0,9050.0,,0.0
2011-12-09,9050.0,9040.0,9100.0,9040.0,,0.0061
2011-12-08,8995.0,9035.0,9085.0,8995.0,,-0.0044
2011-12-07,9035.0,9090.0,9090.0,9035.0,,0.0
2011-12-06,9035.0,9030.0,9090.0,9030.0,,0.0
2011-12-05,9035.0,9055.0,9075.0,9035.0,,0.0022
2011-12-02,9015.0,9090.0,9105.0,9015.0,,0.0022
2011-12-01,8995.0,9075.0,9105.0,8995.0,,-0.0126
2011-11-30,9110.0,9155.0,9175.0,9110.0,,-0.0049
2011-11-29,9155.0,9135.0,9195.0,9135.0,,0.0044
2011-11-28,9115.0,9075.0,9220.0,9075.0,,0.0066
2011-11-25,9055.0,9005.0,9150.0,9005.0,,0.0072
2011-11-24,8990.0,9060.0,9225.0,8980.0,,-0.0061
2011-11-23,9045.0,9035.0,9085.0,9035.0,,0.0
2011-11-22,9045.0,9035.0,9056.0,9035.0,,0.0022
2011-11-21,9025.0,9035.0,9075.0,9025.0,,0.0006
2011-11-18,9020.0,9030.0,9060.0,9020.0,,0.0022
2011-11-17,9000.0,9005.0,9040.0,9000.0,,0.0007
2011-11-16,8993.5,9005.5,9050.5,8993.5,,-0.0002
2011-11-15,8995.0,8965.0,9005.0,8965.0,,0.0033
2011-11-14,8965.0,8965.0,8965.0,8950.0,,-0.0003
2011-11-11,8968.0,8955.0,9005.0,8955.0,,-0.0002
2011-11-10,8970.0,8905.0,9035.0,8905.0,,0.009
2011-11-09,8890.0,8915.0,8930.0,8885.0,,-0.0034
2011-11-08,8920.0,8950.0,8960.0,8920.0,,-0.0039
2011-11-07,8955.0,8935.0,8990.0,8935.0,,0.0006
2011-11-04,8950.0,8955.0,8965.0,8949.0,,-0.0022
2011-11-03,8970.0,8980.0,8980.0,8970.0,,0.0045
2011-11-02,8930.0,8905.0,8975.0,8905.0,,0.0041
2011-11-01,8893.5,8865.5,8905.5,8865.5,,0.0046
2011-10-31,8852.5,8802.5,8867.5,8802.5,,0.0071
2011-10-28,8790.0,8815.0,8840.0,8790.0,,-0.0085
2011-10-27,8865.0,8877.0,8893.0,8865.0,,-0.0009
2011-10-26,8873.0,8845.0,8885.0,8845.0,,0.0026
2011-10-25,8850.0,8850.0,8868.0,8845.0,,0.0011
2011-10-24,8840.0,8855.0,8890.0,8840.0,,-0.0023
2011-10-21,8860.0,8835.0,8880.0,8835.0,,0.004
2011-10-20,8825.0,8820.0,8850.0,8820.0,,0.0028
2011-10-19,8800.0,8830.0,8855.0,8800.0,,-0.002
2011-10-18,8817.5,8832.5,8857.5,8817.5,,0.0
2011-10-17,8817.5,8822.5,8847.5,8817.5,,-0.0032
2011-10-14,8846.0,8852.0,8892.0,8846.0,,-0.0027
2011-10-13,8870.0,8885.0,8920.0,8855.0,,-0.0064
2011-10-12,8927.5,8907.5,8952.5,8907.5,,0.0017
2011-10-11,8912.5,8887.5,8947.5,8887.5,,0.0022
2011-10-10,8892.5,8937.5,8967.5,8892.5,,-0.0006
2011-10-07,8897.5,8937.5,8977.5,8897.5,,-0.0008
2011-10-06,8905.0,8815.0,8945.0,8805.0,,-0.0006
2011-10-05,8910.0,8900.0,8970.0,8900.0,,0.0006
2011-10-04,8905.0,8915.0,8970.0,8905.0,,0.0008
2011-10-03,8897.5,8807.5,8932.5,8807.5,,0.0122
2011-09-30,8790.0,8810.0,8840.0,8790.0,,-0.0073
2011-09-29,8855.0,8940.0,8945.0,8855.0,,-0.0039
2011-09-28,8890.0,8855.0,8955.0,8845.0,,-0.0017
2011-09-27,8905.0,9055.0,9055.0,8905.0,,-0.0171
2011-09-26,9060.0,8810.0,9110.0,8810.0,,0.0319
2011-09-23,8780.0,8770.0,8920.0,8650.0,,0.002
2011-09-22,8762.5,8902.5,9052.5,8742.5,,-0.0121
2011-09-21,8870.0,8860.0,8960.0,8860.0,,0.0034
2011-09-20,8840.0,8860.0,9050.0,8840.0,,-0.0011
2011-09-19,8850.0,8810.0,8880.0,8790.0,,0.0097
2011-09-16,8765.0,8770.0,8800.0,8765.0,,-0.0006
2011-09-15,8770.0,8740.0,8800.0,8740.0,,0.0057
2011-09-14,8720.0,8645.0,8765.0,8645.0,,0.0098
2011-09-13,8635.0,8620.0,8650.0,8615.0,,0.0041
2011-09-12,8600.0,8585.0,8620.0,8585.0,,0.0035
2011-09-09,8570.0,8575.0,8578.0,8565.0,,0.0002
2011-09-08,8568.0,8557.0,8575.0,8557.0,,0.0015
2011-09-07,8555.0,8565.0,8580.0,8555.0,,0.0002
2011-09-06,8553.0,8560.0,8577.0,8553.0,,0.0015
2011-09-05,8540.0,8535.0,8545.0,8535.0,,0.0008
2011-09-02,8533.0,8533.0,8533.0,8533.0,,0.0
2011-09-01,8533.0,8533.0,8533.0,8533.0,,0.0
2011-08-31,8533.0,8533.0,8533.0,8533.0,,0.0
2011-08-30,8533.0,8533.0,8533.0,8533.0,,0.0
2011-08-29,8533.0,8533.0,8533.0,8533.0,,0.0
2011-08-26,8533.0,8590.0,8590.0,8533.0,,-0.0055
2011-08-25,8580.0,8555.0,8585.0,8555.0,,0.0037
2011-08-24,8548.0,8540.0,8553.0,8540.0,,0.0012
2011-08-23,8537.5,8542.5,8557.5,8537.5,,-0.0006
2011-08-22,8542.5,8549.5,8554.5,8542.5,,-0.0009
2011-08-19,8550.0,8555.0,8564.0,8550.0,,0.0018
2011-08-18,8535.0,8532.0,8547.0,8530.0,,0.0006
2011-08-17,8530.0,8530.0,8530.0,8530.0,,0.0
2011-08-16,8530.0,8525.0,8533.0,8525.0,,-0.0007
2011-08-15,8536.0,8535.0,8546.0,8535.0,,-0.0008
2011-08-12,8543.0,8537.0,8560.0,8537.0,,0.0009
2011-08-11,8535.0,8535.0,8560.0,8535.0,,0.0012
2011-08-10,8525.0,8525.0,8540.0,8515.0,,-0.0022
2011-08-09,8544.0,8544.0,8559.0,8534.0,,0.0046
2011-08-08,8505.0,8515.0,8556.0,8505.0,,-0.0012
2011-08-05,8515.0,8505.0,8570.0,8505.0,,0.0019
2011-08-04,8499.0,8474.0,8499.0,8470.0,,0.0022
2011-08-03,8480.0,8488.0,8495.0,8480.0,,0.0015
